ax,ay,az,gx,gy,gz
0.0239,-0.0330,-0.9949,-0.7626,2.7216,83.0075
0.1485,0.0369,-1.0385,-0.1645,3.2973,51.3208
-0.1438,-0.0166,-1.0146,-1.2337,2.6094,37.8625
-0.0809,-0.0135,-1.0110,-0.2991,3.4169,68.7193
0.0245,-0.0759,-1.0266,-0.9944,3.5739,64.0987
-0.0118,0.0041,-1.0468,-0.9047,3.0804,55.6648
0.0776,-0.0735,-1.0261,-1.1813,3.4019,38.6626
-0.2202,0.0093,-1.0181,-1.0991,3.3047,33.2195
-0.2929,0.0468,-0.9575,-0.0972,3.0655,79.6280
-0.0251,-0.0693,-1.2040,1.3084,2.5870,97.6770
0.1280,0.0057,-1.0187,-1.0767,1.4580,75.1942
0.0380,-0.1014,-1.0677,-8.5011,-15.6340,72.5101
-0.0480,-0.0361,-0.9644,-5.8917,-4.0823,59.7696
-0.1249,-0.0753,-1.1125,4.7852,14.9013,84.0543
-0.3738,0.0620,-0.9932,-5.6824,-3.8805,108.8100
-0.2816,-0.0216,-1.0052,2.3776,10.7442,148.8557
0.2285,0.0144,-1.1221,-4.9721,-4.2244,134.2386
-0.0172,-0.0106,-1.0018,-10.1535,-12.2769,82.0953
-0.1317,0.0369,-0.9739,-5.3011,-4.0749,71.0371
0.0935,-0.0759,-1.0476,-5.3085,-3.6786,81.9608
-0.1087,-0.0014,-1.0334,-10.8862,-14.7742,90.5516
0.0542,-0.0358,-1.1760,-10.5049,-9.8918,116.8999
-0.0099,0.0045,-1.0200,-9.1217,-2.1010,126.0141
0.0211,-0.0010,-0.9649,-4.8001,4.6581,94.7162
-0.0731,0.0094,-1.1276,-3.5664,4.8973,66.9922
-0.0632,-0.0275,-1.0506,-4.1870,4.2992,76.4354
-0.1245,-0.0337,-0.9598,-5.3758,5.0319,97.8265
-0.0684,0.0334,-1.1479,-5.8319,4.6805,129.1170
0.0970,-0.0854,-1.1885,-5.4057,7.6562,137.9770
0.0146,-0.0200,-0.9944,-6.2656,5.0468,138.4406
0.0189,0.0169,-0.9335,-5.7497,4.0599,118.8513
0.0950,-0.0009,-1.0207,-5.1515,5.0543,106.5819
-0.0829,-0.0601,-1.0266,-5.4057,4.7852,108.8474
0.0272,0.0005,-1.0060,-4.0674,6.1983,115.9802
-0.0616,-0.0204,-0.9773,-5.0394,5.2338,120.5560
0.0292,-0.0062,-0.9837,-3.4319,8.2245,109.9464
0.0682,0.0003,-0.9893,-0.8524,12.1498,94.4246
-0.0514,-0.0167,-1.0439,-4.3440,2.8487,87.5908
0.0483,-0.0303,-1.0220,-8.8301,-6.2132,84.1066
-0.0206,-0.0331,-0.9861,-2.6917,6.2955,79.2542
0.0618,-0.0072,-1.0444,-5.3459,-0.3738,80.5327
0.0258,-0.0488,-1.0493,-5.3235,2.8711,99.8827
0.1450,-0.0180,-1.0154,-3.3720,9.5927,108.6530
0.1573,-0.0267,-1.0314,-2.7066,7.7534,83.5608
0.0938,-0.0453,-1.0322,-3.0879,4.3739,52.8535
-0.0164,-0.0361,-1.0155,-2.4748,5.3085,56.5172
-0.0378,-0.0118,-1.0197,-1.1514,10.4900,72.2409
-0.0149,-0.0056,-1.0203,2.3926,17.1219,85.5646
0.0059,0.0231,-1.0151,0.5907,13.6526,85.8113
0.0569,-0.0435,-0.9943,0.0897,10.3030,72.8540
-0.0863,-0.0037,-1.0294,0.8224,11.4021,68.4950
-0.0477,0.0011,-1.0403,1.5627,12.5984,76.5775
-0.1047,-0.0220,-1.0547,-1.9066,4.5534,101.7220
-0.0372,0.0327,-1.0127,-3.9328,1.9066,132.4741
-0.0898,0.0114,-1.0349,1.2935,12.6134,165.6860
0.0389,0.0338,-0.9664,4.0749,15.2901,175.2115
0.0006,0.0189,-1.0113,5.5403,16.7406,148.8333
0.1426,0.0658,-1.0361,0.3140,4.3889,109.2511
0.0820,0.0060,-1.0208,-1.6823,1.3234,83.5458
-0.0868,-0.0583,-1.0003,0.1346,5.8394,78.2224
-0.0377,0.0092,-1.0076,-4.2393,-4.0749,84.3459
-0.0330,-0.0479,-1.0420,2.4300,9.9591,85.3477
0.0251,0.0051,-1.0183,-2.4075,-0.1944,90.8955
-0.0485,-0.0231,-1.0305,0.7477,7.1104,88.3534
0.0059,-0.0351,-1.0021,0.0000,5.6973,80.4504
-0.0004,-0.0138,-1.0063,4.8749,15.6789,83.2243
0.1180,0.0949,-1.0822,-0.2542,3.8356,96.5106
-0.0828,0.0448,-0.9897,0.0374,2.0561,110.7614
-0.1525,0.0762,-0.9795,0.3140,2.1309,108.1520
-0.1410,0.0079,-1.0411,0.7178,2.1982,121.5056
-0.0215,0.0254,-1.0033,0.2692,2.3926,110.9483
0.0389,-0.0345,-1.0120,-0.1271,3.1776,91.2843
-0.0375,-0.0392,-1.0264,-0.3589,3.2375,74.1849
-0.0083,-0.0294,-1.0106,-0.9122,2.8711,57.2275
-0.0403,-0.0007,-1.0275,-1.2337,3.0356,45.0777
-0.0327,-0.0239,-1.0104,-1.3982,3.5739,40.6813
-0.0842,-0.0357,-1.0051,-0.6430,3.1552,38.5355
-0.1057,-0.0723,-1.0407,-0.7477,3.1702,42.8870
-0.0525,-0.0553,-0.9921,-0.8524,2.9459,39.1934
0.0215,-0.0339,-1.0275,-1.5926,3.1029,34.9615
-0.0381,-0.0408,-1.0035,-0.7925,3.3571,29.0773
0.0201,-0.0190,-1.0252,-1.2636,3.3347,26.7371
0.0585,0.0924,-1.1299,-0.9346,3.6935,23.1706
-0.0674,-0.0308,-1.0173,-1.2561,3.5291,18.9238
-0.0906,-0.0020,-1.0068,-0.9122,3.1552,21.2790
-0.0320,-0.0258,-1.0108,-1.2038,2.9832,29.0848
-0.0902,0.0018,-1.0208,-1.2337,3.1328,33.5634
-0.0339,-0.0021,-1.0167,-1.2038,3.0580,30.7372
-0.0390,-0.0101,-1.0164,-1.2262,3.4917,23.9781
-0.0410,-0.0151,-1.0128,-1.5253,3.6188,14.0414
-0.0530,-0.0181,-1.0170,-1.5552,3.4991,7.2076
-0.0488,-0.0536,-1.0161,-1.6150,3.3047,2.4449
-0.0528,-0.0132,-1.0094,-1.6748,3.0804,-0.9047
-0.0477,-0.0214,-1.0132,-1.5402,3.2823,-1.5552
-0.0253,-0.0947,-1.0150,-1.8393,3.3870,-10.9012
0.1771,0.0256,-1.0137,-2.5272,3.1552,-28.1502
-0.0464,-0.0112,-1.0049,-2.7066,3.4991,-47.8142
-0.0530,-0.0050,-0.9875,-2.6393,3.3870,-44.7412
-0.0182,-0.0188,-1.0099,-2.3103,3.6113,-42.7225
-0.0179,-0.0237,-0.9973,-1.9066,4.2767,-55.4330
0.0894,-0.0527,-1.0197,-2.8337,3.2375,-74.2223
0.0789,-0.0645,-1.0990,-2.7515,3.9029,-100.6303
0.0447,0.0231,-0.9235,-2.7141,3.9627,-122.2682
-0.1160,0.0070,-1.1904,-2.9683,3.1926,-122.9486
-0.1894,0.0348,-0.9993,-2.6393,4.9347,-103.1575
-0.1782,0.0229,-1.0902,-1.9440,3.9926,-80.3757
-0.0567,-0.0035,-1.0184,-3.1477,4.2842,-67.1567
-0.0026,0.0029,-0.9966,-2.8487,3.5066,-68.2408
-0.1034,0.0018,-1.0651,-2.5047,4.3066,-67.9567
-0.0186,-0.0510,-0.9190,-2.5272,3.9552,-65.0856
-0.1349,0.0240,-1.0233,-2.6393,4.2020,-59.3359
0.0724,-0.0247,-1.0614,-2.0860,4.4263,-55.2536
0.0114,-0.0147,-1.0203,-2.5047,4.0898,-73.0185
0.0287,-0.0300,-1.0889,-2.5122,3.3496,-98.0882
0.0858,0.0100,-1.0065,-7.4469,-6.4824,-125.0720
-0.0167,0.0449,-1.0220,-12.5685,-17.2789,-140.4817
-0.0022,-0.0359,-0.9064,-10.0339,-13.4134,-138.5751
-0.1568,0.1133,-0.9393,0.5608,6.5646,-153.5287
-0.0489,-0.0952,-1.0553,-2.2580,1.2636,-156.4148
0.0623,0.0344,-0.9167,-3.4468,-4.8076,-154.8148
-0.1202,0.0152,-1.1317,-2.6543,-3.5963,-138.6125
-0.0925,0.0195,-0.9169,-2.1608,-1.8318,-118.8364
-0.0863,-0.0018,-1.0714,-0.0523,3.9029,-99.7705
-0.1520,-0.0116,-1.0094,-1.5028,1.0468,-81.5495
-0.1171,-0.0107,-1.0124,-1.8991,0.8524,-61.6089
-0.0471,-0.0225,-1.0135,-0.6953,4.0001,-48.2553
0.0460,-0.0273,-1.0255,0.4112,6.4674,-45.7356
0.0528,-0.0186,-1.0370,0.6953,5.9590,-61.2650
-0.0076,-0.0269,-1.0039,-0.1869,4.3590,-74.6036
-0.0193,-0.0176,-1.0241,-1.9514,0.9196,-70.5063
-0.0648,-0.0229,-1.0140,-0.1794,4.5010,-66.3641
-0.0130,-0.0190,-1.0295,0.1720,5.7422,-65.0781
0.0618,-0.0361,-1.0067,0.1869,5.4955,-71.9717
-0.1681,0.0139,-0.9955,-1.9141,0.1869,-77.1681
-0.0445,-0.0138,-1.0397,-1.4281,2.3402,-57.5041
-0.0189,-0.0215,-1.0294,-0.0673,4.6431,-58.3191
-0.0284,-0.0265,-1.0190,-3.0954,-1.6524,-59.7920
-0.0977,0.0032,-1.0300,-1.8019,1.5926,-57.7957
-0.1033,-0.0221,-1.0151,-0.2916,4.7552,-46.7001
0.0342,-0.0445,-1.0222,-0.2467,5.6824,-34.9989
0.0393,-0.0360,-1.0097,-0.3365,4.7328,-38.5953
0.0792,-0.0350,-1.0159,-0.2692,5.2562,-50.8647
0.0526,-0.0350,-1.0650,-0.3365,4.6132,-72.1288
0.0391,0.0010,-1.0365,-0.7925,3.0356,-97.2957
0.0128,0.0043,-1.0020,-0.7103,4.3515,-107.2623
0.0037,-0.0121,-0.9061,-1.3234,3.9029,-113.6923
-0.0146,-0.0011,-1.0624,-1.0692,3.4692,-125.0720
-0.0213,0.0150,-0.9782,-0.9271,4.2693,-120.3841
0.0544,0.0260,-0.8323,-0.3514,4.6356,-133.2217
-0.0049,-0.0373,-1.0708,0.0523,4.6954,-138.9340
0.0677,0.0220,-1.1014,4.2393,11.6190,-150.7997
-0.0509,0.0029,-1.0359,2.9384,13.8396,-159.2560
-0.2556,0.0577,-1.0746,0.9570,9.2787,-128.0777
-0.1364,0.0156,-1.0370,-3.2225,1.3234,-85.2281
0.0972,-0.0405,-1.0436,1.7944,10.6619,-87.9721
0.0916,-0.0178,-1.0192,-4.0898,0.1645,-122.1710
0.0613,0.0081,-1.0048,-3.0057,3.0804,-134.9414
-0.1788,0.0998,-1.0450,-5.2039,-3.2973,-118.6494
