ax,ay,az,gx,gy,gz
-0.2144,0.8320,0.5303,-19.5892,9.7198,144.2126
-0.3254,0.8475,0.4780,-7.8506,6.1908,122.5822
-0.3177,0.8106,0.4592,-0.8972,4.5384,112.7727
-0.3799,0.7243,0.3879,-1.3084,11.0133,103.0379
-0.4365,0.7896,0.3947,0.8524,22.5052,89.3852
-0.6331,0.9109,0.5129,17.0695,23.8585,107.6660
-0.6652,0.9347,0.5380,18.2060,5.8618,164.8935
-0.5248,0.6992,0.4095,-0.2617,-14.8788,185.4846
-0.4200,0.4694,0.2968,-16.9574,-21.7799,150.3212
-0.5165,0.4056,0.3207,-30.4381,-23.0734,89.0413
-0.5500,0.4854,0.4350,-30.3932,-31.0138,55.9489
-0.5638,0.4724,0.4225,-23.9482,-35.9485,44.6515
-0.5095,0.5302,0.4677,3.9328,3.9328,20.9351
-0.6605,0.5742,0.3450,11.7834,9.9741,13.0171
-0.6934,0.6938,0.2772,-0.7402,16.5462,5.0543
-0.6925,0.5945,0.4580,-17.4733,14.0414,-11.6788
-0.6974,0.6228,0.4860,-4.3216,7.5665,-10.0339
-0.7110,0.6013,0.4805,7.2226,-1.8991,-1.8542
-0.6956,0.5915,0.4151,11.4844,-7.1404,4.0225
-0.7108,0.5453,0.4266,7.0058,-3.8506,4.0225
-0.7108,0.5506,0.4171,3.5515,-4.2693,1.0991
-0.7125,0.5546,0.4250,2.8487,-3.5440,-0.5981
-0.7012,0.5338,0.4281,4.9272,-4.5384,-6.7889
-0.6575,0.5239,0.3602,0.5309,-6.2506,-20.5762
-0.6851,0.5812,0.3697,-12.2171,-3.4393,-34.7298
-0.6429,0.5958,0.3663,-22.5874,-3.7534,-49.9077
-0.6187,0.6221,0.4341,-27.8885,-1.7870,-65.5492
-0.6237,0.6797,0.5110,-20.6136,4.0225,-75.0597
-0.5464,0.6787,0.4772,-11.1031,9.6526,-76.0541
-0.4738,0.5659,0.3629,-9.8694,20.2921,-91.4862
-0.4232,0.6565,0.3633,-15.6938,36.6663,-126.3506
-0.4419,0.8576,0.4565,21.8024,41.8925,-137.8050
-0.3050,0.7089,0.2018,16.8079,44.2328,-145.0052
-0.6373,1.0064,0.4636,-10.6918,31.1259,-140.6612
-0.4378,0.8998,0.5182,-22.0865,21.1893,-133.8797
-0.2791,0.8561,0.4334,-13.4059,14.9461,-128.1898
-0.2960,0.9395,0.4025,-10.5423,12.5536,-119.9579
-0.2411,0.9009,0.4185,-5.8319,0.0598,-117.6176
-0.1846,0.9166,0.3110,-7.1404,-4.2020,-127.0459
-0.1846,0.9227,0.4210,-18.3481,-0.5608,-120.9972
-0.0925,0.9337,0.5339,-11.9554,7.9778,-108.8922
-0.0746,0.8943,0.5341,16.4789,10.0189,-101.0117
-0.0867,0.8734,0.4689,39.4252,5.8394,-97.5050
0.0226,0.8536,0.3971,46.3039,4.0225,-88.4357
0.0536,0.8666,0.3431,33.0624,-0.8299,-92.1666
0.0799,0.9532,0.3183,12.6881,-5.7796,-96.2714
0.1246,0.9301,0.4522,-15.4770,-6.4899,-95.1498
0.1744,0.8947,0.5181,-16.4639,-4.4038,-96.2041
0.1588,0.8786,0.5726,0.4262,-0.6804,-96.5256
0.1995,0.8517,0.5740,5.3609,3.1776,-79.5308
0.1976,0.8494,0.5278,10.5647,6.4600,-62.6183
0.2904,0.8754,0.4532,13.1741,-1.0991,-54.7900
0.3590,0.8303,0.3810,8.1422,-0.1047,-71.4110
0.3544,0.7578,0.3436,-9.2712,-2.1458,-84.7496
0.4062,0.7517,0.3906,-19.6191,-1.8991,-97.8564
0.3834,0.7853,0.4824,-27.6941,2.1907,-111.0231
0.3770,0.7120,0.4913,-28.1726,4.2992,-117.5130
0.3678,0.6196,0.4209,-22.3482,14.1685,-118.7018
0.4083,0.6104,0.4425,-23.0136,11.0432,-94.9779
0.4751,0.7625,0.5190,-16.0153,-1.6898,-72.0914
0.5165,0.8221,0.5037,-9.5404,-14.7742,-61.1752
0.5582,0.6883,0.3339,-12.5237,-8.4488,-55.9041
0.5783,0.5928,0.2845,-14.4527,16.5611,-59.3434
0.5762,0.5469,0.2969,-18.6621,26.3632,-63.4631
0.6060,0.6261,0.3909,-22.2958,22.4005,-62.7528
0.6216,0.6310,0.3768,-24.8305,18.5051,-63.3734
0.6345,0.6192,0.4169,-18.7219,11.3947,-60.5846
0.6467,0.5818,0.3605,-8.0002,6.8787,-56.3078
0.6643,0.5481,0.3572,-7.3273,4.5459,-52.2255
0.7036,0.5532,0.3668,-9.6675,0.0972,-49.2049
0.7313,0.5469,0.3953,-12.8078,3.1253,-49.5712
0.7270,0.5469,0.3917,-4.6132,9.8843,-53.7582
0.7508,0.5100,0.3652,-1.8468,6.6992,-55.8966
0.7482,0.4384,0.3514,0.0972,6.0039,-53.7881
0.7342,0.4272,0.4212,-2.0860,12.3293,-41.2869
0.7753,0.4462,0.3163,8.3740,20.1201,-39.9037
0.7510,0.4790,0.3403,3.5365,22.9538,-41.6458
0.7236,0.4167,0.3135,2.8412,40.5692,-41.0103
0.7190,0.3798,0.4201,0.8524,27.0287,-23.4398
0.7198,0.4114,0.3518,14.2807,18.1313,-8.9348
0.7656,0.4161,0.2932,13.5330,8.3067,5.2188
0.7986,0.4100,0.2805,6.4226,5.4132,13.5704
0.8010,0.4037,0.3209,0.7776,4.6431,20.4341
0.7761,0.4279,0.3710,-1.0841,2.6393,28.6137
0.7568,0.4484,0.3960,1.4954,-1.4954,37.3018
0.7637,0.4521,0.4221,10.0339,-4.1571,45.0552
0.7852,0.4395,0.3826,17.0023,1.2935,50.8348
0.7458,0.4587,0.3557,25.1295,12.8227,55.0143
0.6834,0.4826,0.3363,29.1446,16.6434,64.8688
0.6247,0.5726,0.3555,28.1726,6.7441,82.4841
0.6444,0.6065,0.3761,24.7781,-8.7852,106.4473
0.6481,0.6261,0.3757,26.0193,-20.7108,123.1580
0.6235,0.6273,0.3691,32.2624,-24.8753,131.5096
0.5991,0.6290,0.3413,41.1897,-15.5891,131.3077
0.5615,0.6432,0.3124,36.8307,-9.8470,122.8813
0.4995,0.6956,0.3462,19.5444,-11.5143,122.4776
0.4458,0.7375,0.4159,2.1384,-10.4301,128.7656
0.3895,0.7571,0.4590,-9.0619,-19.1406,135.3302
0.3943,0.8148,0.4464,-11.7461,-32.1951,136.6312
0.3675,0.8515,0.3994,-1.2860,-33.6980,130.6572
0.3199,0.8132,0.3326,0.7626,-27.8661,116.1148
0.2232,0.8089,0.3384,-19.0584,-21.9444,106.2080
0.2296,0.8429,0.4573,-45.9599,-9.3684,106.6566
0.1821,0.9019,0.6116,-36.8233,3.3945,115.7933
0.1398,0.9718,0.6150,-2.9758,-1.1888,123.5243
0.1334,0.9615,0.5076,35.1111,-1.9888,99.4116
0.1035,0.8636,0.3103,28.8754,5.2562,83.5757
0.0600,0.8640,0.2987,-5.0095,18.5724,75.5382
0.0007,0.4780,0.4865,-26.4754,23.0884,71.1942
-0.1046,0.9011,0.4517,-16.0378,14.5200,64.3230
-0.1099,0.8723,0.5564,-8.4712,4.9422,63.2089
-0.1399,0.8635,0.5524,12.1199,0.5757,76.8092
-0.1077,0.8851,0.4847,24.2249,-2.1384,97.9237
-0.0893,0.9306,0.4423,30.3783,-3.2599,99.0303
-0.1838,0.8983,0.4515,25.0548,-6.8936,74.6933
-0.2640,0.8484,0.4716,13.7199,-6.1684,63.2837
-0.2676,0.8088,0.4708,11.7984,-7.1404,75.4858
-0.2614,0.8126,0.4683,17.5481,-4.9048,79.2317
-0.3409,0.8280,0.4924,14.7517,-2.4300,76.5176
-0.3893,0.7966,0.5275,16.0602,-11.5517,90.9628
-0.3882,0.7667,0.4964,23.6566,-21.4883,98.6565
-0.3935,0.7256,0.4424,27.1184,-26.6847,87.1945
